ID	X		Y		Field_Belonging
127	0.576263		-1.00757		0
128	1.4273		1.59198		0
129	0.911761		1.19123		0
130	1.29662		0.291028		0
131	2.28498		0.725194		0
132	2.19924		0.453599		0
133	2.0546		-0.0919508		0
134	0.621631		0.616933		0
135	0.511597		1.06956		0
136	0.879034		0.875813		0
137	1.07508		1.75973		0
138	1.35527		-0.244115		0
139	2.15789		1.07105		0
140	2.05139		1.57547		0
141	3.4877		2.97249		0
142	1.78701		1.11336		0
143	2.84668		-1.92467		0
144	1.02386		3.1489		0
145	0.493422		2.00239		0
146	0.923769		0.871588		0
147	2.55698		2.92362		0
148	-0.0170172		1.24751		0
149	1.95826		-0.785067		0
150	1.52324		1.31695		0
151	-0.420315		0.786016		0
152	1.53464		1.37317		0
153	1.18582		0.305069		0
154	2.22046		1.79283		0
155	0.263694		-0.833495		0
156	2.40552		0.783834		0
157	0.962389		0.7902		0
158	-0.205286		0.491652		0
159	-0.896769		1.17485		0
160	-0.783784		2.27013		0
161	1.17785		1.35373		0
162	1.11952		0.832571		0
163	1.6583		1.20536		0
164	0.640073		2.75934		0
165	1.18447		0.162054		0
166	1.57041		0.967201		0
167	1.66292		1.96129		0
168	2.50029		0.957081		0
169	0.0200962		0.187694		0
170	-0.0732683		0.92127		0
171	2.41334		-2.70531		0
172	0.833482		1.331		0
173	0.238926		-0.328274		0
174	-0.803774		-0.078009		0
175	2.17254		1.30735		0
176	0.551025		3.18669		0
177	2.14083		0.698162		0
178	0.448327		0.105268		0
179	2.15908		0.582512		0
180	-0.239689		1.73672		0
181	2.11629		1.179		0
182	-0.726535		1.42931		0
183	1.12101		2.06402		0
184	-0.201427		2.08904		0
185	0.853528		1.61297		0
186	0.0060354		0.0614527		0
187	-0.171033		1.76719		0
188	0.342829		-0.917755		0
189	0.804706		2.63881		0
190	0.0592266		0.0213127		0
191	-0.366557		3.36899		0
192	2.02966		1.10554		0
193	1.27122		-0.396585		0
194	1.78066		2.2266		0
195	1.50903		2.3712		0
196	-0.983313		-0.703422		0
197	1.39174		0.560441		0
198	1.43599		-0.462567		0
199	-1.02586		1.55909		0
200	1.46613		2.50773		0
201	0.578507		2.08254		0
202	0.497208		0.522717		0
203	2.94761		1.17509		0
204	0.18287		1.20769		0
205	0.443159		1.87622		0
206	1.64794		-0.377734		0
207	2.78414		0.696007		0
208	0.0802971		1.5615		0
209	0.181521		0.971953		0
210	1.66955		1.08378		0
211	0.330175		1.52513		0
212	1.00546		-0.0394088		0
213	-0.0927064		1.01378		0
214	-0.0566408		1.96977		0
215	2.57531		1.41182		0
216	0.719024		1.6044		0
217	0.202868		2.63625		0
218	0.695119		1.74881		0
219	0.684104		1.33197		0
220	2.28757		0.327019		0
221	-0.0199965		1.90228		0
222	0.323414		0.643204		0
223	1.50466		2.47533		0
224	0.85616		0.37483		0
225	1.26423		1.6398		0
226	1.65869		-0.548612		0
227	0.816512		2.25646		0
228	1.58126		-0.177112		0
229	0.396857		2.54792		0
230	1.6176		2.14513		0
231	0.748548		0.631996		0
232	1.92172		1.34779		0
233	-0.896745		1.37725		0
234	-0.940445		1.17436		0
235	0.168667		1.29878		0
236	1.54007		0.239027		0
237	2.33221		0.622863		0
238	0.733525		1.75364		0
239	2.62484		-0.0870545		0
240	0.609737		0.415711		0
241	0.486133		1.12987		0
242	1.49867		0.710809		0
243	-0.455209		-0.508617		0
244	1.0236		1.3113		0
245	1.75692		2.02236		0
246	2.49112		-0.0144161		0
247	2.28061		1.16133		0
248	1.13115		0.702155		0
249	-0.115369		1.838		0
